UNIQUE_ID,DATE,DISTRICT_CURRENT,VDC_MUNICIPALITY,WARD_CURRENT,CASTE_ETHNICITY,SEX_OF_RESPONDENTS,AGE_OF_RESPONDENTS,EDUCATION_OF_RESPONDENTS,WALKING_DISTANCE,Household_Size,Highest_Education,Primary_Occupation,Income,Damage_Category,Months_Recon,Recon_Completed,Amount_Spent,Govt_Grant,Home_Safe,Satisfaction_Level,Freedom_Choice
693219,2018-12-17,2,1,9,84,2,28,2,0,5,1,1,2,4,2,100,300000,200000,1,9,8
703219,2018-12-17,2,1,9,84,2,50,7,0.4,5,3,1,2,4,1,100,400000,200000,1,7,7
12222,2018-12-07,2,2,2,44,1,42,1,4,4,2,4,3,4,1,100,200000,300000,1,6,5
32221,2018-12-07,2,2,1,44,1,34,1,6,8,2,3,3,4,1,100,300000,300000,1,6,6
42221,2018-12-07,2,2,1,9,1,22,2,4,9,2,3,3,3,1,100,250000,300000,1,10,6
62227,2018-12-08,2,2,7,44,1,27,2,8,8,4,1,2,3,,40,120000,70000,1,8,5
72225,2018-12-08,2,2,5,67,1,62,7,8,2,4,3,2,4,,100,250000,50000,1,8,10
11222,2018-12-07,2,2,2,44,2,36,2,5,3,3,1,1,2,1,100,400000,300000,1,9,9
21221,2018-12-07,2,2,1,44,2,28,2,3,8,3,3,4,4,2,100,250000,300000,1,5,6
31222,2018-12-07,2,2,2,44,1,35,2,3,6,2,8,3,4,1,100,1100000,300000,0,5,1
41227,2018-12-08,2,2,7,44,1,57,7,9,8,4,1,7,4,1,100,700000,200000,-1,6,6
51221,2018-12-07,2,2,1,44,1,38,1,3,4,3,3,3,4,1,100,340000,300000,0,6,7
61227,2018-12-08,2,2,7,44,2,45,7,12,7,3,1,7,4,1,100,700000,300000,-1,5,4
71225,2018-12-08,2,2,5,44,2,30,2,6,4,3,1,2,3,,40,40000,200000,1,5,5
11141,2019-01-05,1,4,1,125,1,75,7,0,8,2,1,3,4,1,100,700000,300000,1,10,10
21141,2019-01-05,1,4,1,125,1,45,1,0,8,3,8,3,4,1,100,900000,300000,1,9,9
31141,2019-01-05,1,4,1,67,2,28,1,0,8,3,3,3,3,2,100,-1,200000,1,8,5
41147,2019-01-06,1,4,7,9,2,50,7,0,8,1,2,7,4,1,100,327300,300000,1,10,8
51147,2019-01-06,1,4,7,9,2,23,1,0.5,4,1,2,2,4,1,100,600000,300000,0,5,2
61148,2019-01-06,1,4,8,27,2,30,1,0,4,2,1,1,4,12,100,250000,300000,-1,5,5
71148,2019-01-06,1,4,8,27,1,81,7,0,3,3,1,7,4,1,100,700000,300000,-1,5,5
81148,2019-01-06,1,4,8,9,2,18,2,0,5,4,1,1,4,2,100,400000,300000,1,5,3
91141,2019-01-06,1,4,1,44,2,43,7,0,4,2,4,2,4,16,100,1900000,300000,-1,10,7
12141,2019-01-05,1,4,1,125,1,46,1,0,6,2,3,1,4,1,100,380000,300000,1,5,5
22141,2019-01-05,1,4,1,125,1,25,3,0,3,4,1,5,4,,100,900000,300000,1,8,7
32141,2019-01-05,1,4,1,125,1,30,3,0,2,3,8,3,4,2,100,550000,300000,1,6,7
42147,2019-01-06,1,4,7,52,2,28,1,0,3,2,5,2,4,1,100,500000,300000,0,5,4
52147,2019-01-06,1,4,7,52,1,30,2,0,3,2,4,3,4,1,100,500000,300000,1,10,10
62147,2019-01-06,1,4,7,52,2,30,1,0,3,1,4,3,4,1,100,500000,300000,1,10,9
72147,2019-01-06,1,4,7,9,2,40,7,0,6,1,1,2,4,1,100,450000,300000,1,5,5
82148,2019-01-06,1,4,8,44,1,53,7,0,4,2,1,7,4,1,100,400000,300000,0,5,5
92148,2019-01-06,1,4,8,27,2,45,7,0,5,2,1,2,4,1,100,-1,300000,0,5,3
13145,2019-01-05,1,4,5,9,2,45,7,0,7,2,3,2,4,4,100,500000,300000,1,4,4
23145,2019-01-05,1,4,5,67,2,30,2,0,6,2,1,3,4,3,100,1000000,300000,1,7,7
33146,2019-01-05,1,4,6,125,2,62,7,0.75,9,4,1,4,4,3,100,350000,200000,1,6,4
43146,2019-01-05,1,4,6,125,2,65,7,0.75,6,2,5,4,4,3,100,-1,200000,1,5,4
53142,2019-01-05,1,4,2,67,1,39,4,0,9,4,5,4,4,1,100,250000,300000,1,6,7
